symptoms	sentences
diarrhea	Do you have a diarrhea?
indigestion	Your symptoms describe stomach inflammation, considering the possibility of stomach inflammation.
hiccup,counter-current	Have you eaten a full-blown anti-acid burp?
anemia	Is the blood pressure low, is there anemia?
loose stool	Hey, shit's not good. Do you have a suss?
abdominal pain	How long have you been? Abdominal pain in shit? There's no puss.
hemorrhoid	Are you describing yourself? Man, 58 years old. Was there any hemorrhoids?
hemorrhoid	In your case, you may wish to take care not to sit long, wash your anus with warm salt water after taking a shit, treat yourself with nine Alva outside the hysteria pill, and check the intestinal mirrors and abdominal hyperbole at the hospital if it is not effective.
hemorrhoid	Hemorrhoids can be treated with a nine-colored ointment outside an oral angular pill, but you must be advised to go to the hospital for a check-up.
anemia,diarrhea	How many times a tummy. Both hands and feet, diets, frictions, anemia, hepatitis.
disgusting	Did you throw up? When did you get sick?
disgusting	For women of childbearing age, nausea should first exclude early pregnancy and early pregnancy before considering digestive diseases. Have you taken any medication in the meantime?
disgusting	I suggest we go to the hospital for a check-up. Three months, it's disgusting. I need a check-up.
disgusting	Your diagnosis is not clear, it's nausea, it's probably gastric cyst.
disgusting,abdominal pain	Pure stomach inflammation is not serious. A little Omeprazole and Taser can be eaten in nausea and abdominal pain for three to five days, usually with light diets and regular diets.
counter-current	Sour water?
stomach ache	Use warm stomach softening particles or gastrointestinal pain particles!
diarrhea,loose stool,abdominal pain	It's a mess before it's broken. It's not easy to explain. There's an intestinal irritation syndrome. Possibilities can occur, constipation intersects with diarrhea and sometimes abdominal pains. It has to do with, among other things, dietary and mental factors.
gastrointestinal dysfunction,dysbacteriosis	That's too short a time. I'm still thinking about intestinal disorders and bacterial disorders.
dysbacteriosis	This is the expression of intestinal disorders, and constipation leads to slime, so don't worry.
dysbacteriosis	Ecclesiastical glucose is a soft shit, and the mediocre is a disorder of the intestinal tract. I think it's still pretty good.
gastrointestinal discomfort	In your case, it may be that the gastrointestinal tract is not functioning well, but it is recommended that you do the gastric mirrors. The blind drug may not work well in the first place, and it may hurt your body in the second place.
spasms	In response to this consultation, the doctor updated the summary recommendation that consideration be given to an intestinal spasm.
abdominal pain	Do you have any abdominal pains and colored food?
black poo,indigestion	How long has the constipation been going on? First I need to know if you have a black poop, if you have the possibility of digestive hemorrhage, and then, depending on your dietary habits and dietary structure, I need to determine the next treatment, whether it comes or is examined.
black poo	You're welcome. Look, the shit's getting darker. We can check it out.
loose stool	Hello. How long? How many times?
diarrhea	There may be gastrointestinal inflammation, some Tools and Period and, if the diarrhea is severe, some SIDA.
hiccup,counter-current,abdominal distention	Hiccup anti-acid water? Abdominal swelling?
indigestion,gastrointestinal discomfort	Hello, according to what you said, it should be thought of as stomach discomfort caused by inappropriate diets, such as blizzards or hot stimuli and greasy foods, and possibly by indigestion. How long has this been going on? Is it caused by hot stimuli and greasy foods or blizzards? Has there been any chronic stomach disease in the past?
indigestion	In addition, it is important to develop a good diet and lifestyle. First, three meals per day must be on time and must be well eaten, free from hot and stimulating food and greasy food, free from cold food and food that is not easily digestive, free from heavy and light diets, and free from diets.
nasal congestion,abdominal pain	Are there any more abdominal pains? Do you have any symptoms of stunned Medicare?
diarrhea	You can stop. If you're having a diarrhea, you can have some bacillus.
gastrointestinal dysfunction	Multiple reminders of stomach inflammation or gastrointestinal dysfunction.
gastrointestinal dysfunction	Well, gastric gastrointestinal disorders are likely to be high, and the effects of these two medications, as you say, may not be ideal.
gastrointestinal dysfunction	Well, that suggests a gastrointestinal disorder.
gastrointestinal dysfunction	Gastrointestinal dysfunctions can exist alone, but they combine stomach inflammation.
gastrointestinal dysfunction	After stomach inflammation is restored, intestinal disorders slowly recover.
gastrointestinal dysfunction	A large part of the intestinal disorders are associated with stomach inflammation.
diarrhea	It's not necessary. After eating, diarrhea is the first factor to be taken into account.
gastrointestinal dysfunction	The first thought of gastrointestinal disorders after eating is gastric inflammation.
counter-current,hot heart	This is supposed to be an acute dietary gastrointestinal inflammation. Do you have any anti-acid heart?
indigestion,stomach ache	Maybe you're a little indigestion, and you can eat some gastric pain particles. The symptoms are obvious, and Omar can eat each of them before breakfast.
counter-current	Does it feel anti-acid in the upper abdomen?
abdominal pain	Any symptoms of upper abdominal pain?
counter-current	Do anti-acid symptoms appear after eating, or when hungry? Is there a pattern?
difficult eating,indigestion	Hello, because it's not good digestion.
gastrointestinal discomfort	Right. Because of the food, the stomach doesn't feel well. You're welcome, of course.
abdominal pain	Any other symptoms besides abdominal pain?
diarrhea	You can take a little omelette, or a sticky eggplant. Have you had a diarrhea?
dysbacteriosis	Oh, my God.
diarrhea	Did you say you had a shit once an hour ago? Is that normal? Did you have a diarrhea?
blood in stool	Hello, isn't it blood on the feces? It's red?
hemorrhoid	This is hemorrhaging. It doesn't matter if hemorrhage is not very high.
hemorrhoid	This is hemorrhoids. Hemorrhage is particularly likely to be caused by poor access to shit and hot irritant foods.
hemorrhoid	No, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no, no. No, no, no, no, no, no, no.
diarrhea	We'll grind the bear's guts into powder and take them directly. You can also put gall powder in capsules and take it in the mornings and evenings. For adults, the rate is 0.0 per hour. Twenty-five.5 g; 0 for childrenOne-and-a-half. Fifteen grams. Diarrhoea, if any, can be reduced or spaced for one day, as appropriate.
counter-current	Anti-acid flow from acid in the stomach of the diet.
helicobacter infection	Maybe. There's no phantom spirally infection yet.
diarrhea	Do you want to have a diarrhea when it hurts?
gastrointestinal dysfunction	In response to this consultation, the doctor updated the concluding recommendation: the intestinal mirror was done with no problem, considering the disorder of the intestinal function.
abdominal pain	Where's the abdominal pain?
abdominal pain	The lower right abdominal pain needs to be eliminated from appendicitis.
water swollen	I'm so sorry. I'm so sorry.
diarrhea	Did Diarrhea Hill eat any special food or medicine?
indigestion	Stomach inflammation.
stomach ache,abdominal distention	Discomfort is a stomach ache?
hiccup,counter-current	Hello, in addition to the pain here, is there any malignant vomiting, any anti-acid gas? What's the medicine?
heat	Did you get a fever? How's the shit going?
